#  VELOCITY:   ACTUAL_POFV:   AVE_POFV:      ERROR:
      1.9799       0.563034    0.436424   0.0281515
     2.16846       0.412528    0.354014   0.0169896
     2.35702       0.228779    0.312539   0.0167305
     2.54558       0.298163     0.34086   0.0484289
     2.73415        0.22954    0.294984   0.0200902
     2.92271       0.181368    0.221361   0.0200714
     3.11127       0.185959    0.188129   0.0147269
     3.29983       0.155588    0.134633   0.0138056
     3.48839      0.0661194   0.0977673   0.0114334
     3.67696      0.0317461   0.0668805  0.00762628
     3.86552       0.031918   0.0403702  0.00638912
     4.05408      0.0235457   0.0294198  0.00725294
     4.24264    0.000270076   0.0102537  0.00391705
      4.4312      0.0010803  0.00476008  0.00261685
     4.61976    0.000908436  0.00223119  0.00189688
     4.80833              0  0.00110485   0.0010335
     4.99689              0 0.000349871 0.000327274
     5.18545              0 0.000242454 0.000226795
     5.37401              0           0           0
     5.56257              0           0           0


   0.0942809     0.00466494  0.00535786  0.00223429
    0.282843       0.022981   0.0324718    0.003778
    0.471405       0.150064   0.0872753   0.0101852
    0.659966       0.318149    0.166896   0.0203465
    0.848528       0.300349    0.252916   0.0250854
     1.03709       0.331751    0.303977   0.0209137
     1.22565       0.444323    0.428533   0.0301316
     1.41421       0.398803    0.500927   0.0278575
     1.60278       0.438136    0.521347   0.0320268
     1.79134       0.501432    0.483241   0.0206063
      1.9799       0.596008    0.454155   0.0300941
     2.16846       0.374816    0.356325   0.0152583
     2.35702       0.309286    0.312177   0.0148754
     2.54558       0.309457    0.337371   0.0431734
     2.73415       0.289545     0.29438    0.017867
     2.92271       0.107441    0.208703   0.0214646
     3.11127       0.100444    0.178386   0.0159919
     3.29983      0.0645235    0.126843   0.0143015
     3.48839      0.0552918   0.0930478   0.0110944
     3.67696      0.0650882   0.0666814  0.00678152
     3.86552      0.0207713   0.0381925  0.00603894
     4.05408      0.0117115   0.0274522  0.00670864
     4.24264      0.0204521   0.0113868  0.00364204
      4.4312      0.0350116  0.00812136   0.0039311
     4.61976     0.00329001  0.00234884  0.00168976
     4.80833     0.00287262  0.00130127 0.000937143
     4.99689      0.0136511  0.00182778  0.00142343
     5.18545       0.011024   0.0014404  0.00114729
     5.37401     0.00196419 0.000218243 0.000205761
     5.56257              0           0           0


   0.0942809              0  0.00482208  0.00207411
    0.282843      0.0230792   0.0315325  0.00351502
    0.471405       0.111124   0.0896602  0.00944177
    0.659966       0.190256    0.169232   0.0184455
    0.848528       0.364995    0.264124   0.0249554
     1.03709       0.396078    0.313187   0.0207515
     1.22565       0.430918    0.428772   0.0271194
     1.41421       0.418568    0.492691    0.026261
     1.60278       0.579828    0.527195   0.0293532
     1.79134       0.448203    0.479738   0.0188412
      1.9799       0.595345    0.468274   0.0302157
     2.16846         0.2879    0.349483   0.0151894
     2.35702       0.331407      0.3141   0.0135116
     2.54558       0.332905    0.336924   0.0388584
     2.73415        0.25311    0.290253   0.0165501
     2.92271       0.164501    0.204283    0.019768
     3.11127       0.103341    0.170882   0.0160573
     3.29983      0.0779291    0.121951   0.0136823
     3.48839      0.0862523   0.0923683   0.0100058
     3.67696      0.0145595   0.0614692  0.00785501
     3.86552       0.041076   0.0384808  0.00544192
     4.05408     0.00311814   0.0250188  0.00646406
     4.24264    0.000220971   0.0102702  0.00344475
      4.4312    0.000220971  0.00733132  0.00361651
     4.61976    0.000294628  0.00214342  0.00153322
     4.80833      0.0133565  0.00250679  0.00142103
     4.99689      0.0203293  0.00367794  0.00217301
     5.18545      0.0118588  0.00248224  0.00142936
     5.37401     0.00252889 0.000449307 0.000286959
     5.56257              0           0           0


   0.0942809     0.00677644  0.00499974  0.00189315
    0.282843      0.0270812   0.0311279  0.00321868
    0.471405      0.0400694   0.0851519  0.00959958
    0.659966       0.175107    0.169766   0.0167763
    0.848528       0.343634    0.271352   0.0237104
     1.03709        0.38034    0.319292   0.0197426
     1.22565       0.435092    0.429346   0.0246601
     1.41421       0.537131    0.496731   0.0241824
     1.60278       0.568853    0.530982   0.0269279
     1.79134       0.505876    0.482114   0.0172776
      1.9799       0.410908    0.463059   0.0279153
     2.16846       0.492323    0.362468   0.0185464
     2.35702        0.30381    0.313165   0.0123156
     2.54558       0.267301    0.330595   0.0358376
     2.73415       0.190821    0.281213   0.0173392
     2.92271       0.193914     0.20334   0.0179934
     3.11127       0.176728    0.171413   0.0146063
     3.29983        0.07788    0.117945   0.0130118
     3.48839      0.0338331   0.0870469   0.0104155
     3.67696      0.0568386   0.0610482  0.00715219
     3.86552      0.0310341   0.0378039  0.00498913
     4.05408      0.0164255   0.0242376  0.00592343
     4.24264     0.00977182   0.0102249  0.00313189
      4.4312     0.00201329  0.00684786  0.00331989
     4.61976     0.00031918  0.00197758  0.00140278
     4.80833    0.000417389  0.00231685  0.00130448
     4.99689      0.0155171  0.00475422   0.0022261
     5.18545     0.00348643  0.00257353  0.00130233
     5.37401              0 0.000408461 0.000263763
     5.56257              0           0           0


   0.0942809     0.00537696  0.00503118  0.00173565
    0.282843      0.0206239   0.0302525  0.00306717
    0.471405      0.0569123   0.0827986  0.00908349
    0.659966       0.199537    0.172247   0.0155607
    0.848528       0.269904    0.271232   0.0217348
     1.03709       0.329099    0.320109   0.0181143
     1.22565        0.53664    0.438288   0.0241717
     1.41421       0.584124    0.504014    0.023238
     1.60278       0.493796    0.527883   0.0248616
     1.79134       0.552501    0.487979    0.016804
      1.9799        0.46399    0.463137   0.0255891
     2.16846       0.538432    0.377132   0.0220485
     2.35702       0.255295    0.308342    0.012197
     2.54558       0.218982    0.321294   0.0340367
     2.73415       0.221879    0.276269   0.0165843
     2.92271       0.208351    0.203758   0.0164988
     3.11127      0.0729695    0.163209   0.0155229
     3.29983      0.0652601    0.113554   0.0126465
     3.48839      0.0591711   0.0847239  0.00980319
     3.67696      0.0695322   0.0617552  0.00659103
     3.86552      0.0293155   0.0370965  0.00462325
     4.05408      0.0405604   0.0255978  0.00558381
     4.24264     0.00800406   0.0100399  0.00287636
      4.4312     0.00304449  0.00653092  0.00305832
     4.61976              0  0.00181278  0.00129552
     4.80833              0  0.00212378  0.00120997
     4.99689              0  0.00435804  0.00207555
     5.18545              0  0.00235907  0.00121133
     5.37401              0 0.000374423 0.000243969
     5.56257              0           0           0


   0.0942809    0.000147314   0.0046555  0.00164229
    0.282843      0.0164255   0.0291889  0.00301001
    0.471405      0.0342259   0.0790622  0.00912089
    0.659966       0.140734    0.169823   0.0145513
    0.848528       0.328387    0.275628   0.0205028
     1.03709       0.474719    0.332002   0.0202522
     1.22565       0.601581    0.450849    0.025367
     1.41421       0.627238    0.513493   0.0233036
     1.60278       0.544693    0.529176   0.0229828
     1.79134       0.458097    0.485681   0.0156678
      1.9799       0.503273    0.466224   0.0238062
     2.16846       0.333543    0.373779   0.0206058
     2.35702        0.16838    0.297576   0.0152891
     2.54558       0.264478    0.316923   0.0316978
     2.73415       0.159836    0.267312   0.0175613
     2.92271       0.180631    0.201979   0.0153252
     3.11127       0.115052    0.159505   0.0147642
     3.29983       0.163518    0.117398   0.0122438
     3.48839       0.031206   0.0806072  0.00987574
     3.67696      0.0604478   0.0616546  0.00608479
     3.86552      0.0470668   0.0378635  0.00433076
     4.05408      0.0474596   0.0272795  0.00540159
     4.24264      0.0021606  0.00943376  0.00271821
      4.4312              0  0.00602854  0.00286403
     4.61976              0  0.00167333  0.00120335
     4.80833              0  0.00196041  0.00112787
     4.99689              0   0.0040228  0.00194277
     5.18545              0   0.0021776  0.00113166
     5.37401              0 0.000345621 0.000226896
     5.56257              0           0           0


   0.0942809     0.00171866  0.00444572  0.00153832
    0.282843       0.025117   0.0288981  0.00280902
    0.471405       0.157822    0.084688   0.0100558
    0.659966       0.274937    0.177331    0.015327
    0.848528       0.369365    0.282324   0.0201019
     1.03709       0.434478    0.339322   0.0200849
     1.22565       0.469465    0.452178   0.0235899
     1.41421       0.563869    0.517091   0.0219151
     1.60278       0.383016    0.518736   0.0235935
     1.79134       0.536542    0.489314   0.0149639
      1.9799       0.488591    0.467822   0.0221593
     2.16846        0.39102     0.37501   0.0191707
     2.35702       0.225415    0.292422   0.0150408
     2.54558       0.102997    0.301643   0.0329113
     2.73415      0.0974482    0.255179   0.0200652
     2.92271       0.177145    0.200205   0.0143329
     3.11127       0.162635    0.159729   0.0137113
     3.29983       0.130888    0.118361   0.0114071
     3.48839      0.0796477   0.0805386  0.00917057
     3.67696       0.120355   0.0658476  0.00694616
     3.86552      0.0748355   0.0405043  0.00475897
     4.05408      0.0242822   0.0270654     0.00502
     4.24264     0.00213605  0.00891249  0.00257355
      4.4312    0.000564703  0.00563826  0.00268592
     4.61976    0.000687465  0.00160292  0.00111945
     4.80833     0.00832324   0.0024149  0.00113519
     4.99689              0  0.00373546  0.00182513
     5.18545              0  0.00202206  0.00106146
     5.37401              0 0.000320934 0.000212028
