#     GEN:            L2:          <L2>:
       376        58.0188          58.09
       377        58.0188        58.5244
       378        58.0188        58.3238
       379        58.0188        58.4454
       380        58.0188        59.0149
       381        57.8403        58.3821
       382        57.8403         58.602
       383        57.8403        64.0185
       384        57.8403        73.7154
       385        57.8403        85.0168
       386        57.5553        81.5567
       387        57.5553        86.3876
       388        57.5553        82.6242
       389        57.5553        82.5614
       390        57.5553        83.7966
       391        57.3538        84.4334
       392        57.3538        77.7401
       393        57.3538        74.2194
       394        57.3538         64.581
       395        57.3538        61.3681
       396        56.5529        59.2089
       397        56.4627        57.9499
       398        56.4627        57.2986
       399        56.4627        57.2383
       400        56.4627         57.083
       401        56.4627        56.9841
       402        56.4627        56.8551
       403        56.4627        57.1862
       404        56.4627        57.4688
       405        56.4627        57.0701
       406        56.4627         57.143
       407        56.4627        57.2717
       408        56.4627        56.7234
       409        56.4627         56.587
       410        56.4627        56.6321
       411        56.4627        56.9151
       412        56.4627        57.4529
       413        56.4627        57.0408
       414        56.4627        56.9322
       415        56.4627        56.5406
       416        56.4627        56.5744
       417        56.4627        56.8191
       418        56.4627        56.6663
       419        56.4627        57.1265
       420        56.4627        57.0287
       421        56.4627        56.7083
       422        56.4627        57.5961
       423        56.4627         57.198
       424        56.4627        57.2786
       425        56.4627        57.9082
       426        56.4627        57.6169
       427        56.4627        56.7615
       428        56.4627        57.1148
       429        56.4627        56.6446
       430        56.4627        56.7801
       431        56.4627        56.5588
       432        56.4627         56.538
       433        56.4627        56.6781
       434        56.4627        57.5685
       435        56.4627         57.192
       436        56.2795        56.8018
       437        56.2795        56.4596
       438        56.2795        56.6099
       439        56.2795        56.7582
       440        56.2795        56.5065
       441        56.2795        56.3933
       442        56.2795        56.6296
       443        56.2795        56.8454
       444        56.2795        56.6873
       445        56.2795        56.6062
       446        56.2795        56.3491
       447        56.2795        56.3943
       448        56.2795        56.8592
       449        56.2795        57.1394
       450        56.2795        56.7273
       451        56.2795        56.3548
       452        56.2795        56.3878
       453        56.2795        57.3895
       454        56.2795        57.7715
       455        56.2795        56.6405
       456        56.2795        56.3522
       457        56.2795         56.345
       458        56.2795        56.4501
       459        56.2795        56.3846
       460        56.2795        56.5508
       461        56.2795        56.5362
       462        56.2795        56.8952
       463        56.2795        56.9117
       464        56.2795        56.7712
       465        56.2795        56.7072
       466        56.2795        56.9744
       467        56.2795        57.0508
       468        56.2795        57.1545
       469        56.2795        56.4183
       470        56.2795        56.8629
       471        56.2795        56.5749
       472        56.2795        57.1091
       473        56.2795        56.7364
       474        56.2795        56.6237
       475        56.2795        56.2795
       476        56.2795        56.2795
       477        56.2795        56.4002
       478        56.2795         56.611
       479        56.2795        56.3548
       480        56.2795        56.2826
       481        56.2795        56.6135
       482        56.2795        56.6431
       483        56.2795        57.2096
       484        56.2795        57.0583
       485        56.2795        56.7049
       486        56.2795          56.54
       487        56.2795         56.486
       488        56.2795        56.4922
       489        56.2795        57.0668
       490        56.2795        56.4472
       491        56.2795        56.9777
       492        56.2795          56.77
       493        56.2795        57.2205
       494        56.2795        56.8122
       495        56.2795        56.5519
       496        56.2795          56.31
       497        56.2795         57.053
       498        56.2795        56.8799
       499        56.2795        57.5546
       500        56.2795        57.2764
       501        56.2795        56.6159
       502        56.2795         57.009
       503        56.2795         57.989
       504        56.2795        57.1595
       505        56.2795        56.8418
       506        56.2795        56.9558
       507        56.2795        56.4214
       508        56.2795        56.6742
       509        56.2795        56.5859
       510        56.2795        57.3404
       511        56.2795        56.6198
       512        56.2795        56.7541
       513        56.2795        56.4874
       514        56.2795        57.2689
       515        56.2795         56.412
       516        56.2795        56.5659
       517        56.2795        56.4349
       518        56.2795        56.4849
       519        56.2795        57.0195
       520        56.2795        57.5841
       521        56.2795        58.2125
       522        56.2795        56.4253
       523        56.2795        56.5399
       524        56.2795        56.5265
       525        56.2795        57.5594
       526        56.2795        57.3605
       527        56.2795        57.3567
       528        56.2795        56.7009
       529        56.2795        57.0603
       530        56.2795        56.8555
       531        56.2795        57.3785
       532        56.2795        56.7921
       533        56.2795        56.4703
       534        56.2795        56.3686
       535        56.2795        57.2172
       536        56.2795        57.7013
       537        56.2795        57.7895
       538        56.2795        57.0947
