#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
     1.24401        1.37899     1.39075  0.00538391
     1.26966        1.22583     1.23671  0.00507765
     1.29531        1.10162     1.11925  0.00771442
     1.32096       0.997851     1.01835  0.00840884
     1.34661       0.920083    0.938584  0.00756725
     1.37226       0.854985    0.869147  0.00642178
     1.39791       0.813314    0.819758  0.00319823
     1.42355       0.770078    0.769877   0.0016809
      1.4492       0.730067    0.735435  0.00225917
     1.47485       0.708724    0.709819   0.0031408
      1.5005       0.686089    0.689444  0.00415294
     1.52615       0.685561    0.681028  0.00193526
      1.5518       0.676431    0.673275  0.00200479
     1.57745        0.67897    0.670601  0.00396945
      1.6031       0.682847    0.677407  0.00265173
     1.62875       0.696283    0.694266   0.0018435
      1.6544       0.713194    0.708345  0.00243247
     1.68005       0.730156    0.724898  0.00238948
      1.7057       0.755582    0.754508 0.000778115
     1.73135       0.789098    0.786263  0.00132712
       1.757       0.817326    0.818818  0.00061325
     1.78265       0.858122     0.85254  0.00251327
      1.8083       0.890954    0.894029  0.00185561
     1.83395       0.944089    0.943143  0.00257076
      1.8596       0.978617    0.979105  0.00368391
     1.88525        1.02905     1.02245  0.00725176
      1.9109        1.05507     1.05783  0.00570751
     1.93655          1.096     1.09403  0.00408521
      1.9622        1.13734     1.13204  0.00468122
     1.98785        1.15927     1.15641  0.00134087
      2.0135        1.18808     1.18472  0.00263309
     2.03915        1.20296      1.2015  0.00249804
      2.0648        1.22068     1.21176  0.00364368
     2.09045        1.21872     1.21685  0.00244454
      2.1161        1.20264     1.20784   0.0021907
     2.14174         1.1894     1.19072  0.00224857
     2.16739        1.16909     1.17261  0.00238586
     2.19304         1.1471     1.14636  0.00167439
     2.21869        1.12205     1.12006  0.00320096
     2.24434        1.10044     1.09415  0.00325914
     2.26999        1.05396      1.0647  0.00523956
     2.29564        1.02961     1.03263  0.00233602
     2.32129        1.00741     1.01105  0.00235079
     2.34694       0.980078    0.986386  0.00390804
     2.37259       0.953401    0.963816  0.00454063
     2.39824       0.942738    0.947201  0.00254885
     2.42389       0.923606    0.928844  0.00215023
     2.44954       0.917226    0.918085  0.00163623
     2.47519        0.90322    0.910504  0.00411006
     2.50084        0.89139     0.89774  0.00410712
     2.52649       0.891047    0.887972  0.00127154
     2.55214       0.891149    0.890388 0.000559345


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
