#     GEN:            L2:          <L2>:
       590        61.2457         61.815
       591        61.2457        61.6351
       592        61.2457         61.606
       593        61.2457        61.7192
       594        61.2457        61.8458
       595        61.2457        61.8794
       596        61.2457        62.0685
       597        61.2457        61.6768
       598        61.2457           61.6
       599        61.2457         61.335
       600        61.2457        61.4985
       601        61.2457        61.3878
       602        61.2457        61.3675
       603        61.2457        61.6467
       604        61.2457        61.7206
       605        61.2457        62.1433
       606        61.2457        61.9596
       607        61.2457        61.8402
       608        61.2457        61.7575
       609        61.2457        61.5746
       610        61.2457        61.7906
       611        61.2457        61.7052
       612        61.2457         61.516
       613        61.2457        61.7136
       614        61.2457        61.9073
       615        61.2457        61.9392
       616        61.2457        61.7191
       617        61.2457        61.5149
       618        61.2457        61.5928
       619        61.2457         61.588
       620        61.2457        61.6985
       621        61.2457         61.629
       622        61.2457        61.6234
       623        61.2457        62.0189
       624        61.2457         61.604
       625        61.2457        61.7171
       626        61.2457        61.6423
       627        61.2457        61.5755
       628        61.2457        61.4557
       629        61.2457        61.7123
       630        61.2457        61.5621
       631        61.2457        61.6726
       632        61.2457        61.4568
       633        61.2457        61.3948
       634        61.2457        61.6039
       635        61.2457         61.726
       636        61.2457        61.9668
       637        61.2457        61.7379
       638        61.2457        61.7874
       639        61.2457        61.4855
       640        61.2457        61.5808
       641        61.2457        61.4617
       642        61.2457        61.6949
       643        61.2457         61.412
       644        61.2457        61.5508
       645        61.2457        61.4704
       646        61.2457        61.3873
       647        61.2457        61.4308
       648        61.2457        61.6049
       649        61.2457        61.5091
       650        61.2457        61.5247
       651        61.2457        61.7676
       652        61.2457        61.7134
       653        61.2457        61.3829
       654        61.2457        61.3324
       655        61.2457        61.4366
       656        61.2457        61.4333
       657        61.2457        61.6028
       658        61.2457          61.42
       659        61.2457        61.6394
       660        61.2457        61.9013
       661        61.2457        61.8453
       662        61.2457        61.8275
       663        61.2457        61.6471
       664        61.2457        61.4388
       665        61.2457        61.5034
       666        61.2457        61.5303
       667        61.2457        61.7171
       668        61.2457        61.5213
       669        61.2457        61.5743
       670        61.2457        61.3914
       671        61.2457        61.5933
       672        61.2457        61.6694
       673        61.2457        61.6546
       674        61.2457        62.0946
       675        61.2457        61.8616
       676        61.2457        62.3861
       677        61.2457        62.0577
       678        61.2457        61.7256
