#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
     2.19304        1.13893     1.13536  0.00489856
     2.21869        1.13295     1.12878  0.00200056
     2.24434        1.10837     1.10068    0.011309
     2.26999        1.06076     1.06899  0.00678709
     2.29564        1.03243     1.03773  0.00518445
     2.32129        1.01251     1.00807  0.00393435
     2.34694       0.995463    0.983001  0.00790211
     2.37259       0.962204    0.955689  0.00687977
     2.39824       0.917047    0.929525  0.00514699
     2.42389       0.916834    0.909659  0.00318271
     2.44954       0.888925    0.895516  0.00437979
     2.47519        0.90145    0.902839  0.00394634
     2.50084       0.881377    0.897593  0.00662008
     2.52649       0.870424    0.892212  0.00892979
     2.55214       0.884258    0.897651   0.0059448


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0           0           0
    0.884913    0.000504379   0.0011807 0.000287894
    0.910562        0.02633   0.0257237 0.000776342
    0.936212       0.174186    0.174934  0.00132644
    0.961861       0.558244    0.580715  0.00676825
    0.987511        1.22877     1.22256   0.0157942
     1.01316        1.83762     1.85778   0.0104858
     1.03881        2.28766     2.30521   0.0191387
     1.06446        2.57857     2.58306   0.0109242
     1.09011        2.64077      2.5629   0.0252411
     1.11576        2.44787     2.41684   0.0207118
     1.14141        2.23134     2.19468   0.0128775
     1.16706         1.9145     1.92538   0.0214937
     1.19271        1.66572     1.71467   0.0208304
     1.21836        1.47871     1.55327   0.0215737
     1.24401        1.38799     1.38821   0.0163069
     1.26966        1.21619     1.23397   0.0100643
     1.29531        1.14342     1.12224   0.0175104
     1.32096        1.06374     1.03169   0.0119746
     1.34661       0.931013    0.951097  0.00840822
     1.37226       0.920409    0.884841   0.0114349
     1.39791       0.829007    0.817012  0.00618976
     1.42355       0.797666    0.788709  0.00298667
      1.4492       0.791839    0.754374   0.0121479
     1.47485       0.733486    0.718744  0.00614906
      1.5005       0.690635    0.691181  0.00674881
     1.52615       0.675879    0.690455  0.00447291
      1.5518       0.686734    0.672796  0.00670719
     1.57745       0.664612    0.665861  0.00791775
      1.6031        0.66453    0.673067  0.00645281
     1.62875        0.65596    0.684828   0.0105285
      1.6544       0.654368    0.695566   0.0133212
     1.68005       0.699357    0.721782   0.0186121
      1.7057       0.730429    0.749164  0.00611637
     1.73135       0.744297    0.771825   0.0119185
       1.757       0.797843    0.796784  0.00498311
     1.78265       0.854178     0.83804  0.00669264
      1.8083       0.886891     0.88285  0.00955164
     1.83395       0.936467     0.93794  0.00872064
      1.8596       0.971764    0.979019   0.0080722
     1.88525       0.999441     1.02688  0.00814909
      1.9109         1.0796     1.06568  0.00956514
     1.93655        1.09829     1.10398  0.00487796
      1.9622        1.12657     1.12625  0.00495528
     1.98785        1.17954     1.16114  0.00607823
      2.0135        1.19241     1.18876  0.00208177
     2.03915        1.23517      1.2247  0.00926991
      2.0648         1.2386     1.23359  0.00480871
     2.09045        1.25295     1.22711  0.00912911
      2.1161        1.23672     1.21158   0.0132888
     2.14174        1.22432     1.20357  0.00907299
     2.16739        1.22538     1.19325   0.0124032
     2.19304        1.15202     1.13953  0.00514738
     2.21869        1.14372     1.13251  0.00356549
     2.24434        1.11076      1.1032  0.00875787
     2.26999        1.07755     1.07113  0.00541735
     2.29564        1.04688     1.04002  0.00436443
     2.32129       0.978779     1.00075  0.00699486
     2.34694       0.935976    0.971245   0.0117804
     2.37259        0.91694    0.946002  0.00984927
     2.39824       0.906259    0.923708  0.00634631
     2.42389       0.897375    0.906588  0.00357378
     2.44954       0.906819    0.898342  0.00409614
     2.47519        0.91748    0.906499  0.00433682
     2.50084       0.893078    0.896464  0.00506036
     2.52649        0.88631    0.890736  0.00681812
     2.55214       0.888211    0.895291  0.00490472


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0           0           0
    0.884913     0.00279701  0.00150397 0.000369653
    0.910562      0.0320464   0.0269882  0.00129034
    0.936212       0.162511    0.172449  0.00246262
    0.961861       0.568645    0.578301  0.00582922
    0.987511        1.18859     1.21577   0.0140204
     1.01316        1.92329     1.87088   0.0144115
     1.03881        2.37517      2.3192   0.0197756
     1.06446        2.58827      2.5841  0.00878898
     1.09011        2.53816     2.55795   0.0206721
     1.11576        2.36515      2.4065   0.0189745
     1.14141         2.1583      2.1874   0.0121854
     1.16706        1.92067     1.92444   0.0172156
     1.19271        1.68985      1.7097   0.0172456
     1.21836        1.52668     1.54795   0.0179024
     1.24401        1.37883     1.38634   0.0131531
     1.26966         1.2678     1.24074   0.0100715
     1.29531        1.14765     1.12732   0.0147275
     1.32096        1.05014     1.03538   0.0101325
     1.34661        0.93733    0.948343  0.00716323
     1.37226       0.864138    0.880701  0.00986915
     1.39791        0.80025     0.81366  0.00578895
     1.42355       0.788364     0.78864  0.00239014
      1.4492        0.73258    0.750015   0.0104712
     1.47485       0.712323     0.71746  0.00505159
      1.5005       0.711431    0.695231  0.00650168
     1.52615       0.715993    0.695563  0.00580291
      1.5518        0.68572    0.675381  0.00584264
     1.57745       0.691207     0.67093  0.00778978
      1.6031        0.68926    0.676305  0.00591949
     1.62875       0.671391    0.682141  0.00875906
      1.6544       0.699406    0.696334   0.0106791
     1.68005       0.735855    0.724597    0.015101
      1.7057       0.756039    0.750539  0.00504526
     1.73135       0.800179    0.777496   0.0107999
       1.757       0.791794    0.795786   0.0040852
     1.78265       0.866461    0.843724  0.00738338
      1.8083       0.884124    0.883105  0.00764471
     1.83395       0.921712    0.934694  0.00755636
      1.8596       0.978679    0.978951  0.00645804
     1.88525       0.992622     1.02003  0.00894759
      1.9109        1.04982     1.06251  0.00816124
     1.93655        1.10344     1.10387   0.0039036
      1.9622        1.14127     1.12925  0.00478919
     1.98785        1.13082     1.15508  0.00728456
      2.0135        1.17234     1.18548  0.00337638
     2.03915        1.16611     1.21298   0.0128399
      2.0648         1.1933     1.22553  0.00816948
     2.09045        1.22076     1.22584  0.00739103
      2.1161        1.21974     1.21321   0.0107308
     2.14174        1.23788     1.21044  0.00950551
     2.16739        1.20981     1.19656    0.010355
     2.19304        1.17436     1.14649  0.00746918
     2.21869        1.12248     1.13051  0.00337046
     2.24434        1.08377     1.09932  0.00782115
     2.26999        1.05905     1.06871  0.00484274
     2.29564        1.03692      1.0394  0.00353517
     2.32129       0.991388    0.998877  0.00584107
     2.34694        0.95792     0.96858   0.0097211
     2.37259       0.934692     0.94374  0.00813501
     2.39824       0.951166      0.9292  0.00706411
     2.42389        0.92525    0.910321  0.00439533
     2.44954       0.902893    0.899252  0.00337653
     2.47519       0.887167    0.902633  0.00489869
     2.50084       0.899136    0.896999  0.00407639
     2.52649        0.89917    0.892423   0.0056593
     2.55214       0.906839      0.8976  0.00443437


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
